qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16
701,U S  oil industry history ,0.0075,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,Pearl farming ,0.0482,4,thesaurus.topn3,0.1111,pearl farming  jewel nacre  agriculture breeding ,wiki.topn3,0.1076,pearl farming pearls jewellery components gemstone Pearl ,wiki.topn3.replace,0.0855,pearls jewellery components gemstone Pearl ,tagmee.topn3.replace,0.0491,Pearl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,U S  against International Criminal Court ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Green party political views ,0.2345,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Iraq foreign debt reduction ,0.2626,4,tagmee.topn3.replace,0.4586,Iraq External debt Debt ,tagmee.topn3,0.4493,iraq foreign debt reduction Iraq External debt Debt ,stem.trunc5,0.3914,iraq forei debt reduc ,stem.trunc4,0.3355,iraq fore debt redu ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,Controlling type II diabetes ,0.058,6,stem.paicehusk,0.0972,control type iy diabet ,relevancefeedback.topn10.bm25,0.0843,controlling type ii diabetes diabet ,docluster.topn10.3.bm25,0.0843,controlling type ii diabetes diabet ,termluster.topn5.3.bm25,0.0675,controlling type ii diabetes type treatment treat blood complic control type treatment treat ,sensedisambiguation.replace,0.0648,see type two diabetes ,sensedisambiguation,0.0599,Controlling see type II two diabetes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Aspirin cancer prevention ,0.2599,4,conceptluster.topn5.3.bm25,0.365,aspirin cancer prevention cancer cancer prevention ,tagmee.topn3.replace,0.3187,Aspirin Cancer Cancer prevention ,termluster.topn5.3.bm25,0.2943,aspirin cancer prevention cancer mai prevent aspirin mai prevent studi site risk ,tagmee.topn3,0.2941,aspirin cancer prevention Aspirin Cancer Cancer prevention ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,Decorative slate sources ,0.2365,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,Horse racing jockey weight ,0.8146,1,sensedisambiguation,0.838,Horse sawhorse racing rush jockey weight weight unit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,Prostate cancer treatments ,0.5473,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,Train station security measures ,0.0699,1,tagmee.topn3,0.0796,train station security measures Train station Airport security ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,Pyramid scheme ,0.5529,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,Chesapeake Bay Maryland clean ,0.3337,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,License restrictions older drivers ,0.16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,Schizophrenia drugs ,0.1519,1,sensedisambiguation,0.1675,Schizophrenia drugs drug ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,Spammer arrest sue ,0.0857,5,tagmee.topn3,0.182,spammer arrest sue Spamming Arrest Lawsuit ,conceptluster.topn5.3.bm25,0.182,spammer arrest sue spamming arrest lawsuit ,tagmee.topn3.replace,0.1066,Spamming Arrest Lawsuit ,sensedisambiguation,0.1015,Spammer arrest halt sue ,sensedisambiguation.replace,0.0944,spammer halt sue ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,Gifted talented student programs ,0.3544,2,relevancefeedback.topn10.bm25,0.3632,gifted talented student programs gift ,docluster.topn10.3.bm25,0.3632,gifted talented student programs gift ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,Controlling acid rain ,0.3409,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,Cruise ship damage sea life ,0.0658,5,glove.topn3,0.1057,cruise ship damage sea life ship vessel caused ocean waters lives even ,tagmee.topn3,0.0796,cruise ship damage sea life Cruise ship Marine biology ,anchor.topn3,0.0771,cruise ship damage sea life kommuna   cunnari communa   normalhöhennul  trsa    vega apicomplexan kdblife nánjīng    small ,conceptluster.topn5.3.bm25,0.0719,cruise ship damage sea life marine biology ,word2vec.topn3,0.0678,cruise ship damage sea life small ship vessel warship damange harm ocean lives life   life ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,Federal welfare reform ,0.2768,1,docluster.topn10.3.bm25,0.2985,federal welfare reform welfar state ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Census data applications ,0.0217,2,docluster.topn10.3.bm25,0.0388,census data applications censu ,thesaurus.topn3,0.0328,census data applications  enumeration poll  dossier evidence  function operation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,Iran terrorism ,0.4206,1,word2vec.topn3,0.4314,iran terrorism iranian Iran  iran  terrorist ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
