qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18
301,International Organized Crime ,0.0335,6,wiki.topn3,0.0648,international organized crime constitutional law public international law criminal law International law extortion mafia money laundering Organized crime ,wiki.topn3.replace,0.0608,constitutional law public international law criminal law International law extortion mafia money laundering Organized crime ,glove.topn3,0.0549,international organized crime global which organised criminal ,anchor.topn3,0.0543,international organized crime  confédérat föderat kanusport anti corruption  anti econom drug ,word2vec.topn3,0.0469,international organized crime national global domestic organised criminality ,termluster.topn5.3.bm25,0.0353,international organized crime special organ oper special oper investig affair also crimin ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Poliomyelitis and Post Polio ,0.5704,2,relevancefeedback.topn10.bm25,0.6088,poliomyelitis and post polio case polio i health vaccin report ,wordnet.topn3,0.5903,poliomyelitis post polio acute anterior poliomyelitis polio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Hubble Telescope Achievements ,0.1812,5,wiki.topn3,0.3016,hubble telescope achievements great observatories program hubble space telescope standard candles Hubble Space Telescope ,wiki.topn3.replace,0.2994,great observatories program hubble space telescope standard candles Hubble Space Telescope ,word2vec.topn3,0.2045,hubble telescope achievements kepler milkyway moon  observatory accomplishments successes ,wordnet.topn3,0.1915,hubble telescope achievements Edwin Hubble Edwin Powell Hubble scope accomplishment ,conceptnet.topn3,0.1859,hubble telescope achievements Edwin Powell Hubble lump ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Endangered Species  Mammals ,0.1361,1,conceptluster.topn5.3.bm25,0.1418,endangered species mammals endangered species ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Most Dangerous Vehicles ,0.0016,13,wordnet.topn3,0.0134,dangerous vehicles unsafe grievous severe fomite ,glove.topn3,0.0061,dangerous vehicles potentially difficult cars ,glove.topn3.replace,0.0057,potentially difficult cars ,wiki.topn3.replace,0.0055,risk assessment optimism bias risk management Risk truck semi trailer motor vehicle Vehicle ,wiki.topn3,0.0054,dangerous vehicles risk assessment optimism bias risk management Risk truck semi trailer motor vehicle Vehicle ,tagmee.topn3.replace,0.0049,Risk Vehicle ,termluster.topn5.3.bm25,0.0034,dangerous vehicles vehicl danger ,conceptluster.topn5.3.bm25,0.0034,dangerous vehicles risk ,tagmee.topn3,0.0031,dangerous vehicles Risk Vehicle ,sensedisambiguation,0.0025,Most Dangerous Vehicles vehicle ,word2vec.topn3,0.002,dangerous vehicles hazardous risky perilous cars trucks ,anchor.topn3.replace,0.002,idhún  deadston aud  vehicles ,word2vec.topn3.replace,0.0019,hazardous risky perilous cars trucks ,,,,,,,,,,,,,,,
306,African Civilian Deaths ,0.1196,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,New Hydroelectric Projects ,0.2849,3,tagmee.topn3.replace,0.2961,Hydroelectricity Project ,tagmee.topn3,0.2912,new hydroelectric projects Hydroelectricity Project ,termluster.topn5.3.bm25,0.2912,new hydroelectric projects project hydroelectr ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Implant Dentistry ,0.2914,7,conceptluster.topn5.3.bm25,0.5033,implant dentistry dental implant ,thesaurus.topn3,0.5026,implant dentistry  embed fix ,wiki.topn3,0.3764,implant dentistry soft tissue sinus lift sinus surgery Dental implant cardiology physical therapy otolaryngology Dentistry ,wiki.topn3.replace,0.3125,soft tissue sinus lift sinus surgery Dental implant cardiology physical therapy otolaryngology Dentistry ,tagmee.topn3,0.3029,implant dentistry Dental implant Dentistry ,conceptnet.topn3,0.2983,implant dentistry breast implant embed dental appliance ,wordnet.topn3,0.2966,implant dentistry engraft imbed embed odontology dental medicine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Rap and Crime ,0.0011,14,conceptnet.topn3,0.0061,rap crime music hip hop ,word2vec.topn3,0.0054,rap crime hip hop hiphop criminality ,wiki.topn3.replace,0.0048,reggaeton underground hip hop gangsta rap Rapping ,wiki.topn3,0.0042,rap crime reggaeton underground hip hop gangsta rap Rapping ,conceptnet.topn3.replace,0.0038,music hip hop crime ,word2vec.topn3.replace,0.0022,hip hop hiphop criminality ,termluster.topn5.3.bm25,0.002,rap crime music ,tagmee.topn3.replace,0.0014,Rapping ,glove.topn3,0.0013,rap crime hop rappers criminal ,stem.lovins,0.0013,rap and crim ,stem.paicehusk,0.0013,rap and crim ,stem.trunc4,0.0013,rap and crim ,tagmee.topn3,0.0012,rap crime Rapping ,conceptluster.topn5.3.bm25,0.0012,rap crime rapping ,,,,,,,,,,,,
310,Radio Waves and Brain Cancer ,0.14400000000000002,1,word2vec.topn3,0.166,radio waves brain cancer television brain  leukemia lymphoma ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
