qid,abstractqueryexpansion,abstractqueryexpansion.bm25.rm3.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20
301,International Organized Crime ,0.0348,10,anchor.topn3,0.1776,international organized crime  confédérat föderat kanusport anti corruption  anti econom drug ,anchor.topn3.replace,0.1633,confédérat föderat kanusport organized anti corruption  anti econom drug ,wiki.topn3.replace,0.0809,constitutional law public international law criminal law International law extortion mafia money laundering Organized crime ,wiki.topn3,0.0727,international organized crime constitutional law public international law criminal law International law extortion mafia money laundering Organized crime ,word2vec.topn3,0.0652,international organized crime national global domestic organised criminality ,stem.trunc5,0.0536,inter organ crime ,glove.topn3,0.0467,international organized crime global which organised criminal ,docluster.topn10.3.bm25.rm3,0.0354,international organized crime organ ,wordnet.topn3,0.0352,international organized crime outside get up devise mastermind criminal offence law breaking ,relevancefeedback.topn10.bm25.rm3,0.0349,international organized crime organ feder crimin have ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Poliomyelitis and Post Polio ,0.6107,1,wordnet.topn3,0.6132,poliomyelitis post polio acute anterior poliomyelitis polio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Hubble Telescope Achievements ,0.1392,5,wiki.topn3.replace,0.1999,great observatories program hubble space telescope standard candles Hubble Space Telescope ,wiki.topn3,0.196,hubble telescope achievements great observatories program hubble space telescope standard candles Hubble Space Telescope ,word2vec.topn3,0.1604,hubble telescope achievements kepler milkyway moon  observatory accomplishments successes ,wordnet.topn3,0.1496,hubble telescope achievements Edwin Hubble Edwin Powell Hubble scope accomplishment ,sensedisambiguation.replace,0.1481,hubble telescope accomplishment ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Endangered Species  Mammals ,0.1072,3,stem.lovins,0.1275,endanger speci   mam ,stem.paicehusk,0.1275,endang specy   mam ,conceptluster.topn5.3.bm25.rm3,0.1275,endangered species mammals endangered species ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Most Dangerous Vehicles ,0.0037,8,wordnet.topn3,0.0167,dangerous vehicles unsafe grievous severe fomite ,tagmee.topn3.replace,0.0101,Risk Vehicle ,conceptluster.topn5.3.bm25.rm3,0.0082,dangerous vehicles risk ,wiki.topn3,0.0063,dangerous vehicles risk assessment optimism bias risk management Risk truck semi trailer motor vehicle Vehicle ,wiki.topn3.replace,0.0055,risk assessment optimism bias risk management Risk truck semi trailer motor vehicle Vehicle ,word2vec.topn3,0.0043,dangerous vehicles hazardous risky perilous cars trucks ,glove.topn3,0.004,dangerous vehicles potentially difficult cars ,relevancefeedback.topn10.bm25.rm3,0.0039,most dangerous vehicles ford arm said missil diesel space ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,African Civilian Deaths ,0.1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,New Hydroelectric Projects ,0.3095,2,wordnet.topn3,0.3494,new hydroelectric projects raw design see externalise ,tagmee.topn3.replace,0.3163,Hydroelectricity Project ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Implant Dentistry ,0.3791,4,conceptluster.topn5.3.bm25.rm3,0.5037,implant dentistry dental implant ,wiki.topn3.replace,0.503,soft tissue sinus lift sinus surgery Dental implant cardiology physical therapy otolaryngology Dentistry ,wiki.topn3,0.4201,implant dentistry soft tissue sinus lift sinus surgery Dental implant cardiology physical therapy otolaryngology Dentistry ,thesaurus.topn3,0.3793,implant dentistry  embed fix ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Rap and Crime ,0.0017,9,conceptnet.topn3.replace,0.0063,music hip hop crime ,word2vec.topn3,0.0052,rap crime hip hop hiphop criminality ,conceptnet.topn3,0.005,rap crime music hip hop ,word2vec.topn3.replace,0.0043,hip hop hiphop criminality ,wiki.topn3.replace,0.0042,reggaeton underground hip hop gangsta rap Rapping ,wiki.topn3,0.0035,rap crime reggaeton underground hip hop gangsta rap Rapping ,termluster.topn5.3.bm25.rm3,0.0025,rap crime like music ,docluster.topn10.3.bm25.rm3,0.0022,rap and crime he ,relevancefeedback.topn10.bm25.rm3,0.0021,rap and crime gang enemi he japanes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Radio Waves and Brain Cancer ,0.1067,2,termluster.topn5.3.bm25.rm3,0.127,radio waves brain cancer cancer brain ,word2vec.topn3,0.1074,radio waves brain cancer television brain  leukemia lymphoma ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
