qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18
301,International Organized Crime ,0.0282,6,glove.topn3,0.0441,international organized crime global which organised criminal ,wiki.topn3,0.0418,international organized crime constitutional law public international law criminal law International law extortion mafia money laundering Organized crime ,anchor.topn3,0.040999999999999995,international organized crime  confédérat föderat kanusport anti corruption  anti econom drug ,word2vec.topn3,0.0368,international organized crime national global domestic organised criminality ,wiki.topn3.replace,0.0364,constitutional law public international law criminal law International law extortion mafia money laundering Organized crime ,termluster.topn5.3.qld,0.0299,international organized crime special organ oper special oper investig affair also crimin ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Poliomyelitis and Post Polio ,0.5585,2,relevancefeedback.topn10.qld,0.6051,poliomyelitis and post polio case polio i health hi vaccin percent ,wordnet.topn3,0.5665,poliomyelitis post polio acute anterior poliomyelitis polio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Hubble Telescope Achievements ,0.1915,3,wiki.topn3,0.2933,hubble telescope achievements great observatories program hubble space telescope standard candles Hubble Space Telescope ,wiki.topn3.replace,0.2863,great observatories program hubble space telescope standard candles Hubble Space Telescope ,wordnet.topn3,0.1966,hubble telescope achievements Edwin Hubble Edwin Powell Hubble scope accomplishment ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Endangered Species  Mammals ,0.1124,3,conceptluster.topn5.3.qld,0.1331,endangered species mammals endangered species ,stem.lovins,0.1183,endanger speci   mam ,stem.paicehusk,0.1183,endang specy   mam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Most Dangerous Vehicles ,0.0051,7,conceptluster.topn5.3.qld,0.0175,dangerous vehicles risk ,wordnet.topn3,0.0114,dangerous vehicles unsafe grievous severe fomite ,sensedisambiguation,0.01,Most Dangerous Vehicles vehicle ,wiki.topn3,0.0077,dangerous vehicles risk assessment optimism bias risk management Risk truck semi trailer motor vehicle Vehicle ,wiki.topn3.replace,0.0073,risk assessment optimism bias risk management Risk truck semi trailer motor vehicle Vehicle ,tagmee.topn3.replace,0.0066,Risk Vehicle ,tagmee.topn3,0.006,dangerous vehicles Risk Vehicle ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,African Civilian Deaths ,0.1084,2,relevancefeedback.topn10.qld,0.1312,african civilian deaths januari death rwanda doe offici un he polic said modis ,docluster.topn10.3.qld,0.1288,african civilian deaths un rwanda said offici ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,New Hydroelectric Projects ,0.3172,2,tagmee.topn3.replace,0.3225,Hydroelectricity Project ,tagmee.topn3,0.3199,new hydroelectric projects Hydroelectricity Project ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Implant Dentistry ,0.2839,8,conceptluster.topn5.3.qld,0.5031,implant dentistry dental implant ,conceptnet.topn3,0.5027,implant dentistry breast implant embed dental appliance ,word2vec.topn3.replace,0.5008,implant dental dentists ,conceptnet.topn3.replace,0.5,breast implant embed dental appliance ,thesaurus.topn3,0.4189,implant dentistry  embed fix ,wiki.topn3,0.3346,implant dentistry soft tissue sinus lift sinus surgery Dental implant cardiology physical therapy otolaryngology Dentistry ,wordnet.topn3,0.3223,implant dentistry engraft imbed embed odontology dental medicine ,wiki.topn3.replace,0.3125,soft tissue sinus lift sinus surgery Dental implant cardiology physical therapy otolaryngology Dentistry ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Rap and Crime ,0.0011,16,conceptnet.topn3,0.0076,rap crime music hip hop ,wiki.topn3,0.006,rap crime reggaeton underground hip hop gangsta rap Rapping ,wiki.topn3.replace,0.006,reggaeton underground hip hop gangsta rap Rapping ,word2vec.topn3,0.0057,rap crime hip hop hiphop criminality ,relevancefeedback.topn10.qld,0.0051,rap and crime    gang you mtv enemi ,conceptnet.topn3.replace,0.0048,music hip hop crime ,termluster.topn5.3.qld,0.0036,rap crime music like record ,word2vec.topn3.replace,0.0032,hip hop hiphop criminality ,glove.topn3,0.0018,rap crime hop rappers criminal ,tagmee.topn3.replace,0.0014,Rapping ,docluster.topn10.3.qld,0.0014,rap and crime you ,tagmee.topn3,0.0013,rap crime Rapping ,stem.lovins,0.0013,rap and crim ,stem.paicehusk,0.0013,rap and crim ,stem.trunc4,0.0013,rap and crim ,conceptluster.topn5.3.qld,0.0013,rap crime rapping ,,,,,,
310,Radio Waves and Brain Cancer ,0.1384,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Industrial Espionage ,0.3797,2,relevancefeedback.topn10.qld,0.4768,industrial espionage compani bnd mr samsung intellig foreign he state vw ,termluster.topn5.3.qld,0.4168,industrial espionage espionag compani industri compani ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Hydroponics ,0.8626,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Magnetic Levitation Maglev ,0.7848,2,relevancefeedback.topn10.qld,0.8320000000000001,magnetic levitation maglev magnet railwai la would project train cryocool ,termluster.topn5.3.qld,0.8204,magnetic levitation maglev train ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Marine Vegetation ,0.0035,4,conceptluster.topn5.3.qld,0.0501,marine vegetation ocean ,wiki.topn3,0.0424,marine vegetation ocean current seabed continental shelf Ocean ecosystem biome biomes Vegetation ,tagmee.topn3,0.0292,marine vegetation Ocean Vegetation ,conceptnet.topn3,0.0053,marine vegetation suboceanic plant ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Unexplained Highway Accidents ,0.0164,5,sensedisambiguation,0.0215,Unexplained Highway Accidents accident ,conceptluster.topn5.3.qld,0.0213,unexplained highway accidents traffic collision ,tagmee.topn3,0.0201,unexplained highway accidents Highway Traffic collision ,relevancefeedback.topn10.qld,0.0188,unexplained highway accidents accid mainland feder pch car highwai call bird exxon ,glove.topn3,0.0167,unexplained highway accidents inexplicable road fatalities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Polygamy Polyandry Polygyny ,0.579,2,docluster.topn10.3.qld,0.6055,polygamy polyandry polygyny aid ,word2vec.topn3,0.5819,polygamy polyandry polygyny polygyny polygamous polygyny polyandrous polygamy polyandry ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Unsolicited Faxes ,0.5054,1,sensedisambiguation,0.5588,Unsolicited unasked Faxes facsimile ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Best Retirement Country ,0.0075,2,sensedisambiguation,0.0143,Best Retirement Country state ,glove.topn3,0.0079,best retirement country well better nation already ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,New Fuel Sources ,0.1185,4,relevancefeedback.topn10.qld,0.1585,new fuel sources sup nuclear power energi said n o cell ,anchor.topn3,0.1462,new fuel sources bibalayeva forms new yappin  fuel inject mixed oxid gas motor ,docluster.topn10.3.qld,0.1404,new fuel sources nuclear said ,termluster.topn5.3.qld,0.125,new fuel sources sourc system system fuel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Undersea Fiber Optic Cable ,0.0509,8,anchor.topn3,0.0924,undersea fiber optic cable uuv  samayamaayi adventure queu fibr       cable   nowiki  disappearing fila itmo   spbsu ,word2vec.topn3,0.0692,undersea fiber optic cable deep sea underwater fibre cable TV ,termluster.topn5.3.qld,0.0674,undersea fiber optic cable cabl system telecommun telecommun system optic ,wordnet.topn3.replace,0.0613,submarine fibre vulcanized fiber roughage opthalmic oculus overseas telegram cable system cablegram ,thesaurus.topn3,0.059000000000000004,undersea fiber optic cable   grain thread  ocular optical  cord link ,thesaurus.topn3.replace,0.0531,undersea  grain thread  ocular optical  cord link ,docluster.topn10.3.qld,0.052000000000000005,undersea fiber optic cable sprint soviet ,sensedisambiguation,0.0511,Undersea submarine Fiber roughage Optic eye Cable cable television ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Women in Parliaments ,0.2545,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,International Art Crime ,0.0009,10,word2vec.topn3,0.0147,international art crime national global domestic artwork artworks criminality ,word2vec.topn3.replace,0.0145,national global domestic artwork artworks criminality ,sensedisambiguation,0.0086,International Art artwork Crime ,sensedisambiguation.replace,0.0076,international artwork crime ,conceptnet.topn3,0.003,international art crime supranational painting paint paintings ,tagmee.topn3.replace,0.002,Art and Crime ,conceptnet.topn3.replace,0.0018,supranational painting paint paintings crime ,tagmee.topn3,0.0015,international art crime Art and Crime ,conceptluster.topn5.3.qld,0.0015,international art crime art crime ,wiki.topn3,0.001,international art crime lsuicidé maya with doll les raboteurs dparquet Art and Crime ,,,,,,,,,,,,,,,,,,,,,,,,
323,Literary Journalistic Plagiarism ,0.2525,2,stem.lovins,0.344,liter   journ plagiar ,tagmee.topn3,0.3148,literary journalistic plagiarism Literature Journalism Plagiarism ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Argentine British Relations ,0.4124,1,stem.krovetz,0.4142,argentina   britain relations ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Cult Lifestyles ,0.0718,5,stem.trunc4,0.1073,cult life ,stem.trunc5,0.1073,cult lifes ,anchor.topn3,0.0987,cult lifestyles genestealer reproduct   cult   tsumbubura ,wordnet.topn3,0.0982,cult lifestyles craze rage religious cult modus vivendi life style ,glove.topn3,0.0818,cult lifestyles followers sect sedentary ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Ferry Sinkings ,0.6287,3,relevancefeedback.topn10.qld,0.6915,ferry sinkings ship estonia ferri safeti said bow ,docluster.topn10.3.qld,0.6912,ferry sinkings ship ferri estonia said safeti ,termluster.topn5.3.qld,0.6543,ferry sinkings ship door water estonia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Modern Slavery ,0.0795,8,thesaurus.topn3,0.4404,modern slavery  contemporary current  bondage captivity ,wordnet.topn3,0.2319,modern slavery New Bodoni thrall bondage slaveholding ,conceptnet.topn3.replace,0.2145,new slavery ,anchor.topn3.replace,0.1607,burdah jardot  originalité  slavery ,tagmee.topn3,0.1523,modern slavery Slavery Slavery in the United States ,word2vec.topn3,0.1167,modern slavery contemporary modern day ancient slaves enslavement ,conceptluster.topn5.3.qld,0.10800000000000001,modern slavery slavery united states ,wiki.topn3,0.0796,modern slavery slave trade slavery civil war Slavery emancipation proclamation frederick douglass jefferson davis Slavery in the United States ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Pope Beatifications ,0.6635,2,sensedisambiguation,0.7367,Pope Beatifications beatification ,conceptnet.topn3,0.6739,pope beatifications Alexander Pope ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Mexican Air Pollution ,0.1167,5,docluster.topn10.3.qld,0.2373,mexican air pollution mexico citi pollut ,stem.krovetz,0.20600000000000002,mexico air pollution ,word2vec.topn3,0.1803,mexican air pollution mexico air  water ,glove.topn3,0.1563,mexican air pollution mexico force flying environmental ,relevancefeedback.topn10.qld,0.1525,mexican air pollution citi pollut mexico border phalen ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Iran Iraq Cooperation ,0.1013,4,anchor.topn3,0.138,iran iraq cooperation iran iraq iran iraq  eritrean ethiopian ,stem.trunc4,0.1308,iran   iraq coop ,stem.trunc5,0.1308,iran   iraq coope ,anchor.topn3.replace,0.1146,iran iraq iran iraq  eritrean ethiopian cooperation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,World Bank Criticism ,0.2178,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Income Tax Evasion ,0.0749,5,wiki.topn3,0.1717,income tax evasion bank fraud arrest warrant plea bargain Tax evasion bank fraud arrest warrant plea bargain Tax evasion ,conceptluster.topn5.3.qld,0.0942,income tax evasion tax evasion ,tagmee.topn3,0.0941,income tax evasion Tax evasion Tax evasion ,wiki.topn3.replace,0.0932,bank fraud arrest warrant plea bargain Tax evasion bank fraud arrest warrant plea bargain Tax evasion ,tagmee.topn3.replace,0.0917,Tax evasion Tax evasion ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Antibiotics Bacteria Disease ,0.2845,10,termluster.topn5.3.qld,0.4541,antibiotics bacteria disease year strain peopl antibiot develop diseas year strain peopl ,sensedisambiguation,0.3279,Antibiotics antibiotic Bacteria Disease ,docluster.topn10.3.qld,0.3187,antibiotics bacteria disease tb diseas plagu ,tagmee.topn3,0.3182,antibiotics bacteria disease Antibiotics Bacteria Infection ,tagmee.topn3.replace,0.3178,Antibiotics Bacteria Infection ,wiki.topn3,0.3038,antibiotics bacteria disease bactericides staphylococcus pancreas Antibiotics prokaryotes bacteriology bacteria Bacteria antibiotics urinary bladder pancreas Infection ,stem.porter,0.3029,antibiot bacteria diseas ,stem.porter2,0.3029,antibiot bacteria diseas ,conceptluster.topn5.3.qld,0.3028,antibiotics bacteria disease infection ,relevancefeedback.topn10.qld,0.2984,antibiotics bacteria disease antibiot pneumonia diseas syndrom tb strep tick plagu ,,,,,,,,,,,,,,,,,,,,,,,,
334,Export Controls Cryptography ,0.0556,9,word2vec.topn3.replace,0.2047,import controls encryption cryptographic cryptology ,word2vec.topn3,0.1726,export controls cryptography import encryption cryptographic cryptology ,glove.topn3,0.1136,export controls cryptography import cryptographic public key ,wiki.topn3,0.1124,export controls cryptography outlinof cryptography glossary of cryptographic keys plaintext Cryptography ,wiki.topn3.replace,0.11199999999999999,outlinof cryptography glossary of cryptographic keys plaintext Cryptography ,relevancefeedback.topn10.qld,0.1119,export controls cryptography ii us china card code arrest he inform intellig state ,tagmee.topn3,0.1111,export controls cryptography Cryptography ,tagmee.topn3.replace,0.1111,Cryptography ,sensedisambiguation.replace,0.1111,export restraint cryptography ,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Adoptive Biological Parents ,0.3336,4,relevancefeedback.topn10.qld,0.4514,adoptive biological parents her adopt child sabol she ,tagmee.topn3,0.3646,adoptive biological parents Adoption Biology Parent ,sensedisambiguation,0.3592,Adoptive Biological Parents parent ,docluster.topn10.3.qld,0.3526,adoptive biological parents adopt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
