model,epoch,rouge,bleu,bleu_list,exact_match,f1,elapsed_time
seq2seq,1,0.6422374212342864,0.09938045158371574,"0.3975217956397467,1.0653152611763997e-08,3.859380055118995e-11,3.369792515507928e-12",0.0,0.6993006993006992,47.19710993766785
seq2seq,2,1.142120658893822,0.0035069676627040277,"0.013959636747209089,5.5838546989418e-05,8.863816823168568e-06,3.5315397944363695e-06",0.0,1.304713804713805,63.81304407119751
seq2seq,3,1.142120658893822,0.0035069676627040277,"0.013959636747209089,5.5838546989418e-05,8.863816823168568e-06,3.5315397944363695e-06",0.0,1.304713804713805,74.46998453140259
seq2seq,4,1.7478772790686488,0.16797971198998674,"0.4058289853774809,0.25666878686026484,0.008006882750809822,0.0014141929713913093",0.0,1.9444444444444449,81.85337924957275
seq2seq,5,1.777908125178384,0.14329148993091365,"0.34160832019582443,0.2236351407591627,0.006749843130424795,0.0011726556382426073",0.0,1.990740740740741,95.61698365211487
seq2seq,6,2.0232007167240553,0.2760284086919449,"0.7185666152888126,0.38554215332717473,4.830928647475734e-06,3.522314465892627e-08",0.0,2.1940559440559446,97.93825364112854
seq2seq,7,1.9285517357115454,0.5534569399062983,"0.892391999206308,0.6900551438759243,0.6312117291565328,0.00016888738642825075",0.0,2.007575757575758,112.578439950943
seq2seq,8,4.13527931822427,0.5759858525700351,"1.3867114868361015,0.9172234335881648,8.457335436406e-06,3.252043748814471e-08",0.0,4.3686868686868685,117.56937050819397
seq2seq,9,2.0141220385710272,0.591905741840543,"1.0220944235780813,0.6927001975508724,0.65269824980154,0.00013009643167800441",0.0,2.107333085593955,127.58346199989319
seq2seq,10,4.213918834974714,0.4534074645938006,"0.7693844094692076,0.5077678043874049,0.5363435691352303,0.0001340753833596502",0.0,4.543951418951419,139.99668216705322
seq2seq,20,8.254815585818053,3.618792849046018,"5.641641949790179,4.054616862874378,2.845182604150204,1.9337299793693123",0.0,7.880926943426942,249.61728382110596
seq2seq,30,9.32695602475762,1.5566061763643542,"2.775510204079367,1.7508738600572775,1.1066383228385634,0.5934023184822087",0.0,9.733901515151516,348.782217502594
seq2seq,40,13.193568212678953,1.960268924897484,"3.486529318539234,2.273649783685095,1.384794029796603,0.6961025675690042",2.083333333333333,13.722902012144338,461.3641126155853
seq2seq,50,14.986308989972805,8.482615261373143,"14.132275335956393,9.635239909575374,6.587360202553695,3.5755855974071076",2.083333333333333,15.123007980265013,568.2276465892792
seq2seq,60,15.449216357871146,8.929021740593052,"14.745865059894694,10.101739220221564,7.100694010575091,3.767788671680863",2.083333333333333,15.84885974591857,682.7944767475128
seq2seq,70,14.125730785620155,7.756192688192805,"12.825190847534628,8.689889502317028,6.132788183940777,3.3769022189787874",2.083333333333333,14.352647624706446,782.3322036266327
seq2seq,80,14.205655160159179,8.869261782563703,"13.88026719529366,9.799588835340888,7.239411154268007,4.557779945352257",2.083333333333333,14.410994948678772,898.2083518505096
seq2seq,90,15.085737366639377,9.872488583914128,"14.791379315709493,10.614470788250003,8.152728501186845,5.931375730510175",2.083333333333333,15.476678632458384,1005.2493827342987
seq2seq,100,15.307087695748326,9.2371185781271,"14.80594786194531,10.126396694852932,7.3871817396064685,4.628948016103694",2.083333333333333,15.708160113939867,1111.4164636135101
seq2seq,110,15.69886580296622,10.037656239971787,"15.257454532518858,10.787350169852227,8.201960905242313,5.903859352273747",2.083333333333333,16.130896112133183,1232.014881849289
seq2seq,120,15.69886580296622,10.035173531708324,"15.257454532518858,10.787350169852227,8.201960905242313,5.893928519219897",2.083333333333333,16.130896112133183,1330.5196959972382
seq2seq,130,15.69886580296622,10.037623699916562,"15.268374087940487,10.791190669037451,8.20107958311713,5.889850459571181",2.083333333333333,16.130896112133183,1453.213002204895
seq2seq,140,15.69886580296622,10.049644139667695,"15.328580733108165,10.811019909462061,8.194038634833154,5.864937281267403",2.083333333333333,16.130896112133183,1559.0745491981506
seq2seq,150,15.69886580296622,10.042389945972154,"15.27903597633928,10.794874958969396,8.200112890663707,5.895535957916236",2.083333333333333,16.130896112133183,1682.259617805481
seq2seq,160,15.69886580296622,10.035173531708324,"15.257454532518858,10.787350169852227,8.201960905242313,5.893928519219897",2.083333333333333,16.130896112133183,1803.4412746429443
