model,epoch,rouge,bleu,bleu_list,exact_match,f1,elapsed_time
seq2seq,1,0.0,5.523607751540168e-10,"3.181289257593212e-17,4.928432125753502e-12,2.6469393285409057e-10,1.9398207038233304e-09",0.0,0.0,38.62790489196777
seq2seq,2,0.0,5.523607751540168e-10,"3.181289257593212e-17,4.928432125753502e-12,2.6469393285409057e-10,1.9398207038233304e-09",0.0,0.0,41.724782943725586
seq2seq,3,0.0,5.523607751540168e-10,"3.181289257593212e-17,4.928432125753502e-12,2.6469393285409057e-10,1.9398207038233304e-09",0.0,0.0,51.80684471130371
seq2seq,4,0.0,1.9893052587878527e-11,"3.001326231155222e-16,4.2445162611616287e-16,1.3742643533409208e-12,7.819722141392396e-11",0.0,0.0,55.97139620780945
seq2seq,5,1.608649789029536,0.075033303424897,"0.3001326231155225,1.342233895089284e-08,1.3742643533409205e-07,4.3973529116109154e-07",0.0,1.6666666666666667,63.65132927894592
seq2seq,6,1.1050724637681162,0.08965436430393062,"0.3586174397584115,1.5330994984394207e-08,9.631471665555106e-11,2.0300012593483447e-09",0.0,1.1904761904761907,67.26440286636353
seq2seq,7,2.620274914089347,0.4788986030366208,"1.0758523192752336,0.839713178195127,1.389098587107482e-05,1.5023690251413938e-05",0.0,2.7777777777777777,73.57109665870667
seq2seq,8,3.8577115117191196,0.566491734024232,"1.343036415200573,0.9229134998124339,1.694076059760933e-05,8.032332413057799e-08",0.0,4.19973544973545,82.90801215171814
seq2seq,9,1.7971252634898505,0.16787955709650063,"0.6715182076002867,2.063697322932841e-08,1.344589059689324e-10,1.428373134294347e-11",0.0,1.9675925925925926,86.47252106666565
seq2seq,10,1.4890100267087,0.16787955709650063,"0.6715182076002867,2.063697322932841e-08,1.344589059689324e-10,1.428373134294347e-11",0.0,1.629072681704261,90.87800931930542
seq2seq,20,7.811098316978045,5.378931649516428,"6.2881337424789745,5.581507005796722,4.524234692648356,5.121851157141659",0.0,8.273809523809526,160.89530491828918
seq2seq,30,6.578334821393199,4.940506506631324,"6.518583433245355,5.3224010857277095,4.195748738290249,3.7252927692619786",0.0,6.977513227513228,219.11660647392273
seq2seq,40,6.578334821393199,4.927093607647412,"6.4524538265928575,5.287188745388727,4.192999886089406,3.7757319725186553",0.0,6.977513227513228,286.38256311416626
seq2seq,50,9.33085555595733,4.906534265009277,"9.463194609008092,6.438888369081579,3.72347684015525,0.0005772417921900076",0.0,10.936748436748438,352.6509826183319
seq2seq,60,9.342478506026568,6.372838470270704,"9.398654009263586,7.025582473821415,4.988105266882631,4.079012131115185",0.0,10.440716690716691,407.1948163509369
seq2seq,70,11.82284570467289,6.928983000942136,"10.778989021578429,7.5260195063127115,5.213803725325601,4.197119750551803",0.0,12.927489177489178,476.50856471061707
seq2seq,80,11.056914332123872,6.978737495018252,"11.075310532086274,7.633131015931848,5.184148396266881,4.0223600357880045",0.0,12.094155844155845,542.8766164779663
seq2seq,90,9.7443416082549,5.250900926244613,"10.460649060350498,6.766671320466688,3.7757262689218947,0.0005570552393725462",0.0,10.679563492063492,602.9980773925781
seq2seq,100,10.438786052699346,6.985858271124574,"11.175920019969116,7.659679481786758,5.1598178224681535,3.9480157602742696",0.0,11.374007936507937,664.8654208183289
seq2seq,110,9.7443416082549,5.262039158916605,"10.5080390210617,6.775913722693532,3.763652815155731,0.0005510767554559577",0.0,10.679563492063492,735.4716815948486
seq2seq,120,9.7443416082549,5.255023472661053,"10.477425018721048,6.770264129108596,3.771849709710943,0.0005550331036262542",0.0,10.679563492063492,796.8512003421783
seq2seq,130,10.438786052699346,6.985290169447336,"11.158025664373861,7.65561468282004,5.165120880873429,3.9623994497220103",0.0,11.374007936507937,862.709025144577
seq2seq,140,10.438786052699346,6.985858271124574,"11.175920019969116,7.659679481786758,5.1598178224681535,3.9480157602742696",0.0,11.374007936507937,937.3841609954834
seq2seq,150,10.438786052699346,6.985858271124574,"11.175920019969116,7.659679481786758,5.1598178224681535,3.9480157602742696",0.0,11.374007936507937,997.5317249298096
seq2seq,160,10.438786052699346,6.986018584554384,"11.192760276736221,7.66315910538726,5.154310177015269,3.9338447790787865",0.0,11.374007936507937,1066.6149418354034
seq2seq,170,10.438786052699346,6.986018584554384,"11.192760276736221,7.66315910538726,5.154310177015269,3.9338447790787865",0.0,11.374007936507937,1156.9984676837921
seq2seq,180,10.438786052699346,6.986018584554384,"11.192760276736221,7.66315910538726,5.154310177015269,3.9338447790787865",0.0,11.374007936507937,1204.6562888622284
seq2seq,190,10.438786052699346,6.986018584554384,"11.192760276736221,7.66315910538726,5.154310177015269,3.9338447790787865",0.0,11.374007936507937,1295.0887279510498
seq2seq,200,10.438786052699346,6.986018584554384,"11.192760276736221,7.66315910538726,5.154310177015269,3.9338447790787865",0.0,11.374007936507937,1362.4900188446045
acg,1,45.205888546934816,18.986465491531515,"34.0914660599676,24.64369681401854,17.208615817200762,0.0020832749391476646",0.0,50.03156565656566,46.11095142364502
acg,2,49.418460991730285,19.827168174456574,"36.089561007740976,28.33385229802987,14.883426629210444,0.0018327628450005603",0.0,51.8543956043956,54.302178144454956
acg,3,50.48791052764652,20.674568917286003,"38.06155403495367,27.463640401918788,17.171100825657597,0.001980406613962471",0.0,53.82302882302882,73.19955635070801
acg,4,48.23731532783797,21.093002145597385,"38.06947757689786,28.716785378350995,17.58377800516831,0.0019676219723712128",0.0,51.29028379028379,83.1874315738678
acg,5,52.66746435579917,22.117822841179073,"38.837976291963564,29.429694003642965,20.20134079716763,0.002280271942125368",0.0,55.66063566063566,95.7222011089325
acg,6,50.48754761966836,3.0268980737032227,"5.914467697901807,3.9944096194905208,2.1985356248855146,0.0001793525350471436",0.0,52.16825998075998,107.04845690727234
acg,7,47.41310554649821,2.878597018477763,"5.665467625894186,3.7496032375768165,2.099144559447904,0.00017265099214726573",0.0,48.70037999913319,120.23710322380066
acg,8,51.27568429443541,25.89173531930149,"47.49786673758365,34.99599876439824,21.071149536296637,0.0019262389274321598",0.0,52.446500259000274,132.91477370262146
acg,9,52.58107708388747,3.207601505382136,"5.700934579433924,3.8360924794578457,2.2584253643103605,1.0349535983264138",0.0,54.94585580111896,149.3483371734619
acg,10,54.86518278161401,26.328647319052493,"38.57849624965415,30.400436211803566,22.497079457314324,13.838577357437929",0.0,56.83591871091871,156.42552018165588
acg,20,59.858511732378894,33.09580141553849,"41.070481990375605,34.36203055175311,29.224618922673105,27.72607419735216",0.0,62.07010582010582,286.645382642746
acg,30,56.20817307461535,27.7825213791075,"35.635084040874226,29.141636679764787,24.11849345203125,22.23487134375973",0.0,59.46188071188071,409.83593368530273
acg,40,58.93620228131283,28.87648825644204,"38.113438974956956,31.305397093498883,25.127169688547752,20.95994726876457",0.0,62.279022720199194,535.0776062011719
acg,50,58.781972656893835,28.202583022364717,"35.94785234477844,30.105279348660257,24.8339060182602,21.923294377759976",0.0,62.29918229918231,661.5867812633514
