model,epoch,rouge,bleu,bleu_list,exact_match,f1,elapsed_time
seq2seq,1,0.0,3.998750931536718e-14,"1.8515566983629236e-16,2.2724636791218826e-16,3.078490069809909e-16,1.5922978621673924e-13",0.0,0.0,45.75586652755737
seq2seq,2,0.43696275071633234,0.0009711415709935536,"0.0038537473431796915,2.4373238262845413e-05,4.50737023609437e-06,1.9383322955827177e-06",0.0,0.5555555555555555,56.38510084152222
seq2seq,3,0.0,3.1315674656386145e-14,"9.207328689133683e-17,1.272175278577231e-16,3.1512458147364773e-16,1.2472828322932187e-13",0.0,0.0,66.99239325523376
seq2seq,4,0.38220551378446105,0.02161895436433797,"0.08647581282071566,3.82099908600069e-09,3.726868984004541e-11,7.783684435336071e-10",0.0,0.45454545454545453,82.41525101661682
seq2seq,5,0.4723828117263869,0.04480286840683341,"0.17921146953388967,4.081095567948958e-09,1.1714702341735846e-11,6.336867902900031e-13",0.0,0.5049603174603174,98.49792575836182
seq2seq,6,1.036058293749817,0.13530262343384328,"0.5412104815063644,1.2180164109929623e-08,4.3904778165048863e-11,4.939821182894964e-12",0.0,1.134920634920635,122.87223243713379
seq2seq,7,1.2381489256534013,0.29520547111963497,"0.7311633505296271,0.4496536477950947,4.859627994392892e-06,2.652582348870275e-08",0.0,1.3680555555555558,136.36874151229858
seq2seq,8,0.749924394481664,0.2006304262818561,"0.3584229390677793,0.25811114687074355,0.18595930820765796,2.831098124360044e-05",0.0,0.8382936507936509,151.45345640182495
seq2seq,9,2.5059162753941897,0.5742220351609856,"1.608519109073819,0.6883626187173394,6.390396947735576e-06,2.2455836394419013e-08",0.0,2.6691919191919196,167.68885731697083
seq2seq,10,3.2095210523289635,0.6006132928816367,"1.0638297872330995,0.6253909915922604,0.4210406089483908,0.29219178375279586",0.0,3.325226301889659,182.82640838623047
seq2seq,20,9.128151161758518,0.6106529759623274,"1.041009463722069,0.6575470689400477,0.46096124898619323,0.28309412220099994",0.0,9.796612811982518,316.09436869621277
seq2seq,30,14.771022141834687,8.23864088688407,"12.389959196594392,8.724224022370427,6.749009478317521,5.09137085025394",0.0,14.722472630153852,459.36362290382385
seq2seq,40,15.236941904114474,9.34536132402015,"12.92332135202489,9.946210720772266,8.197481480648007,6.314431742635433",0.0,16.408549783549784,604.1581954956055
seq2seq,50,15.201764724003564,11.031977680676876,"16.632586694955705,11.953748055409354,9.05733182147603,6.484244150866412",0.0,18.058649683649687,740.7236831188202
seq2seq,60,16.616588567536912,11.461040316755621,"16.667849770431424,12.509940039069237,9.708227038225656,6.958144419296168",0.0,19.45158313908314,869.4745116233826
seq2seq,70,17.18598438953273,11.920893605202435,"17.983314254572473,12.977225088900068,9.837288561736676,6.885746515600526",0.0,20.162195537195537,1013.5276484489441
seq2seq,80,17.339650173996485,12.020131734671297,"17.782542338396407,13.191655941811698,10.02499168279478,7.0813369756823",0.0,20.283088987036354,1174.1406707763672
seq2seq,90,17.086235728870598,12.09957083662985,"17.44013397736185,13.322759531660555,10.36798665898374,7.267403178513253",0.0,19.609287025235304,1306.4469017982483
seq2seq,100,16.837158941546342,12.00743909075092,"17.72684797491651,13.170395523654813,10.028893364547075,7.1036194998852835",0.0,20.128288856737132,1439.2957570552826
seq2seq,110,17.189352936927406,12.00743909075092,"17.72684797491651,13.170395523654813,10.028893364547075,7.1036194998852835",0.0,20.086622190070468,1577.1557159423828
seq2seq,120,17.189352936927406,12.01091534911692,"17.741350887623923,13.176083559221038,10.028127143688847,7.098099805933868",0.0,20.086622190070468,1719.171774148941
seq2seq,130,17.189352936927406,12.00743909075092,"17.72684797491651,13.170395523654813,10.028893364547075,7.1036194998852835",0.0,20.086622190070468,1876.0723867416382
seq2seq,140,17.170289817376023,12.01091534911692,"17.741350887623923,13.176083559221038,10.028127143688847,7.098099805933868",0.0,20.06511681372638,2021.2507784366608
seq2seq,150,17.170289817376023,12.01091534911692,"17.741350887623923,13.176083559221038,10.028127143688847,7.098099805933868",0.0,20.06511681372638,2187.8860137462616
seq2seq,160,17.189352936927406,12.00743909075092,"17.72684797491651,13.170395523654813,10.028893364547075,7.1036194998852835",0.0,20.086622190070468,2301.6466014385223
seq2seq,170,17.189352936927406,12.00743909075092,"17.72684797491651,13.170395523654813,10.028893364547075,7.1036194998852835",0.0,20.086622190070468,2447.0286378860474
seq2seq,180,17.189352936927406,12.00743909075092,"17.72684797491651,13.170395523654813,10.028893364547075,7.1036194998852835",0.0,20.086622190070468,2603.2465698719025
seq2seq,190,17.189352936927406,12.00743909075092,"17.72684797491651,13.170395523654813,10.028893364547075,7.1036194998852835",0.0,20.086622190070468,2786.2476015090942
seq2seq,200,17.189352936927406,12.00743909075092,"17.72684797491651,13.170395523654813,10.028893364547075,7.1036194998852835",0.0,20.086622190070468,2887.3842284679413
acg,1,38.73433757051774,19.192481658213197,"29.95159025455576,22.74936536553352,14.70707865649748,9.361892356266019",0.0,42.32671250318309,61.54722809791565
acg,2,45.14848668736901,18.377680199807216,"24.51492250129634,20.481624336019117,16.49140187647005,12.022772085443359",0.0,49.02799649181229,90.52033591270447
acg,3,44.02492860212936,23.64703779354014,"36.7521310435437,30.43561267236916,17.796969415586602,9.603438042661091",0.0,48.407906635847795,116.67826247215271
acg,4,47.77434009555826,23.592639956328632,"29.13247701877786,25.39715521165985,21.905167519118876,17.93576007575794",0.0,50.34878928261281,151.2581684589386
acg,5,46.743841752413545,6.848533301507453,"9.956331877720562,7.827498619103748,5.804860261042035,3.8054424481634728",0.0,49.507382979523825,177.762633562088
acg,6,48.95073835934403,26.069867204314562,"30.839517356264828,27.515912177349733,24.702334481858106,21.221704801785577",0.0,51.517461296873066,201.90053796768188
acg,7,48.530371893289455,25.321071282406475,"30.245669893297926,26.9639702995777,24.168417725350047,19.906227211400235",0.0,51.123474156562395,235.08682465553284
acg,8,47.38476521515524,25.420953467149083,"30.518451711532247,27.106635066986573,24.000777384656185,20.057949705421326",0.0,49.74946744432038,262.7104721069336
acg,9,47.55357372665136,25.106876306565436,"31.531051752044114,27.547071463390782,23.53607514943728,17.81330686138956",0.0,50.0120816417172,290.3642225265503
acg,10,48.4427870754757,26.661613867980606,"32.92038632111646,28.640354885870018,24.852914373049757,20.232799891886184",0.0,51.189429443105915,316.39985275268555
acg,20,48.986022734497396,27.311350475541794,"33.968175701922284,29.429677030562424,25.474561144667224,20.372988025015243",2.5,51.667276528529726,605.006918668747
acg,30,46.45711047144132,6.85369970683035,"9.982788296032718,7.720881793645301,5.830009785337409,3.881118952305969",2.5,48.97847269755927,885.391770362854
acg,40,44.08732731385473,3.555780143123566,"5.207857469161622,4.0294775316320735,2.9979863227078853,1.9877992489926826",2.5,45.63907998972026,1157.711208820343
acg,50,43.91086820704406,28.463164225431356,"38.31085713189923,31.643003733238878,25.452597132354445,18.44619890423288",2.5,45.41297482272243,1450.8092000484467
acg,60,44.12468736464537,27.759021004668586,"36.338874812504315,30.840955991799895,25.375903948817573,18.480349265552558",2.5,45.753827539794386,1728.5875158309937
acg,70,43.83127293778588,29.654107003846686,"39.10260919905516,32.82557818847065,26.659528530242305,20.02871209761862",5.0,45.0032900263228,2076.171787261963
acg,80,42.219327953812495,28.098148545931696,"37.716603861820865,30.732505381247933,25.106113030118905,18.83737191053909",5.0,44.43138244613888,1941.567883491516
acg,90,42.22535498039487,27.6242231382839,"37.18368187626206,30.28161802164612,24.694270992025086,18.33732166320233",2.5,44.31968806626737,1800.5509524345398
acg,100,42.46116882837009,28.24307746947824,"38.04745126411754,30.86700276511294,25.17930910909898,18.878546739583502",5.0,44.68021642679571,1992.8934915065765
acg,110,42.06945378641858,27.596753681673952,"37.7485104790222,30.39976737085806,24.436777666035653,17.801959210779902",2.5,44.35705301581487,2187.405617237091
acg,120,42.642578197445616,28.183368183272226,"38.461322392167844,31.076367557009725,24.90796395275337,18.287818831157963",5.0,44.894944580127785,2387.4946506023407
acg,130,43.07146293664713,28.35996969217205,"38.13247010399652,31.133513827687604,25.285722063768638,18.888172773235446",5.0,45.23796874366282,2570.880040407181
acg,140,43.07146293664713,28.35996969217205,"38.13247010399652,31.133513827687604,25.285722063768638,18.888172773235446",5.0,45.23796874366282,2785.0070312023163
acg,150,42.49345983810233,28.103922588698325,"37.800883407440026,30.758485910817008,25.08225445538088,18.774066581155378",5.0,44.783423289117366,2982.991208791733
acg,160,42.49345983810233,28.103922588698325,"37.800883407440026,30.758485910817008,25.08225445538088,18.774066581155378",5.0,44.783423289117366,3162.1717801094055
acg,170,42.879579095189335,28.360468122304603,"38.15197224922842,31.138859787030515,25.278981443090707,18.872059009868764",5.0,45.162211167905234,3376.4337334632874
acg,180,42.879579095189335,28.360468122304603,"38.15197224922842,31.138859787030515,25.278981443090707,18.872059009868764",5.0,45.162211167905234,3578.962992668152
acg,190,42.879579095189335,28.360468122304603,"38.15197224922842,31.138859787030515,25.278981443090707,18.872059009868764",5.0,45.162211167905234,3760.6587207317352
acg,200,42.879579095189335,28.360468122304603,"38.15197224922842,31.138859787030515,25.278981443090707,18.872059009868764",5.0,45.162211167905234,3979.9927899837494
hredqs,1,0.0,9.76335241970398e-11,"3.853747343179687e-18,7.707494686455717e-13,4.507370236094372e-11,3.446896411048225e-10",0.0,0.0,42.6618926525116
hredqs,2,0.0,2.7170395377123286e-12,"3.3129106833535575e-17,5.646313626427763e-17,1.8607578185008615e-13,1.068199277675613e-11",0.0,0.0,52.92002606391907
hredqs,3,0.0,3.4195262299301624e-14,"7.267541523188798e-17,1.0484120945339773e-16,3.9474269068928436e-16,1.3620878988183193e-13",0.0,0.0,62.718273401260376
hredqs,4,0.38220551378446105,0.046874449400572046,"0.1874977894057285,7.261758158175787e-09,3.095520299709912e-11,9.038463149843449e-10",0.0,0.45454545454545453,72.28399229049683
hredqs,5,1.0918635220083102,0.0627674259432315,"0.2510696960892279,6.442942427195912e-09,6.553030469157065e-11,1.1752253634054433e-09",0.0,1.248663101604278,81.78343224525452
hredqs,6,1.0739981472646647,0.1388667555016749,"0.5554670095088772,1.2446796181662369e-08,4.439950980378963e-11,6.626811627423122e-12",0.0,1.1944444444444444,91.03509020805359
hredqs,7,1.2556888047483061,0.2535173685743717,"0.6214145852283418,0.3926503005332029,4.561606067688485e-06,2.6929874326918758e-08",0.0,1.3947163947163947,101.1426043510437
hredqs,8,2.283651690499673,0.9991880025666736,"0.82017255265674,0.7487116802253213,0.9150842191548073,1.5127835582298257",0.0,2.5485625485625487,110.26065492630005
hredqs,9,3.4931812435696643,1.2159334834697173,"1.3249673698993367,1.0145025240662133,1.0687371683308715,1.455526871582448",0.0,3.7868381618381615,120.05451369285583
hredqs,10,2.6537357139666518,1.4874686886409136,"1.693795140248399,1.4370134609069423,1.3096077237473083,1.5094584296610047",0.0,2.850250626566416,129.798499584198
hredqs,20,7.1585292744623965,4.417003309036621,"6.268656716399199,4.6097379301140355,3.684013224843264,3.1056053647899864",0.0,8.220957963605024,225.58014225959778
hredqs,30,20.058279978596104,11.329661767707126,"16.48590606477756,12.337020822718815,9.449357264847654,7.046362918484479",0.0,21.76907593032686,322.4091181755066
hredqs,40,26.132675663856087,15.568987011808382,"22.460699959525453,17.02268737115422,12.85999577542087,9.932564941132979",0.0,26.800888222516633,418.3646066188812
hredqs,50,30.928013108738895,19.772993527025644,"26.798639586030614,21.47951155973012,17.190309672600083,13.623513289741766",2.5,31.715819136512412,512.7740514278412
hredqs,60,32.94955102954858,21.438604541341803,"29.445418804404007,23.27016624586587,18.39196895843114,14.6468641566662",2.5,33.6157890312302,609.067013502121
hredqs,70,33.84382895059811,21.955574295989212,"30.174389386640726,24.045913305781745,18.770039397065577,14.831955094468801",2.5,34.470239319504024,705.0714008808136
hredqs,80,36.17801134212513,24.43887783793654,"34.4280076838684,26.855881170169948,20.541214992955663,15.930407504752148",2.5,37.313236074874624,801.0629758834839
hredqs,90,37.23734114439126,24.49441717924303,"34.50265316451962,26.990483036974723,20.8129339667024,15.671598548775382",2.5,38.4332757574143,896.3628480434418
hredqs,100,37.67958556236618,25.59513872975652,"35.16616572537576,27.995450977220454,22.116992139434906,17.101946076994956",2.5,38.85568955051775,1008.5799839496613
hredqs,110,37.21723999595084,25.337571394994356,"34.89947945739469,27.63237962480164,21.891745407046308,16.92668109073477",2.5,38.37815559022517,1089.125708580017
hredqs,120,37.140409154791676,25.336423107763338,"34.914247822720235,27.635062620832535,21.884716430365742,16.911665557134846",2.5,38.294822256891834,1185.9445445537567
hredqs,130,36.334523946568126,24.41671499906656,"34.03532530472168,26.56965547881208,20.912023076603926,16.14985613612855",2.5,38.092441304510885,1290.7588891983032
hredqs,140,36.334523946568126,24.41671499906656,"34.03532530472168,26.56965547881208,20.912023076603926,16.14985613612855",2.5,38.092441304510885,1394.3535771369934
hredqs,150,37.21723999595084,25.3375759115142,"34.798165098338956,27.607677092322486,21.928969655444757,17.01549179995059",2.5,38.37815559022517,1495.5968177318573
