model,epoch,rouge,bleu,bleu_list,exact_match,f1,elapsed_time
seq2seq,1,0.42011019283746553,0.026008520195459083,"0.10403407562518786,4.47596116748714e-09,2.721082182642392e-11,6.534764789053703e-10",0.0,0.45454545454545453,34.47099184989929
seq2seq,2,0.40775401069518713,0.0210017747957677,"0.08400689092258712,3.7569023736028134e-09,4.560595692712746e-08,1.5889762437746007e-07",0.0,0.45454545454545453,38.45799136161804
seq2seq,3,0.7193396226415094,0.1267521459748948,"0.5070085706278656,1.3222917468164267e-08,4.5511326380940863e-11,3.284654989113256e-12",0.0,0.769230769230769,51.069171667099
seq2seq,4,2.8760864847807266,0.30664306721948564,"1.226572249169622,1.8239877042047642e-08,5.844326500317063e-11,1.4100004046126782e-09",0.0,3.112665112665113,61.49678564071655
seq2seq,5,0.7494838379112021,0.04216867520646329,"0.16867469879514008,2.0258349562473616e-09,4.654480738335304e-12,2.2365425578182412e-13",0.0,0.7940274990134595,71.00777840614319
seq2seq,6,2.4557750239697786,0.2918730803858703,"1.167492303055622,1.842165211557627e-08,5.7976743015239585e-11,8.230238052927422e-12",0.0,2.6410533910533918,80.76591300964355
seq2seq,7,0.4183631359942168,0.05878010278085942,"0.17039922103209093,0.06472071856678215,4.7025389311376294e-07,1.2706715042674175e-09",0.0,0.4464138914988618,97.16550779342651
seq2seq,8,0.88472399226333,0.06627372004715414,"0.19559902200484222,0.06949536302228987,4.938432185101262e-07,1.3182659460972893e-09",0.0,0.9464138914988618,99.18903088569641
seq2seq,9,2.917418984703919,1.129621259322016,"2.102705849413895,1.3890017693519001,1.0265598733257755,0.00021754519649348796",0.0,3.2796370296370294,107.17763686180115
seq2seq,10,3.598653816922369,1.549363018808463,"2.0590959408517273,1.3651276298569448,1.2810181066634405,1.49221039786174",0.0,3.780448717948718,115.03541541099548
seq2seq,20,6.636615371334834,0.550620136097938,"0.8632439800086945,0.5995986556839066,0.4392551670813527,0.30038274161779843",0.0,6.7452010708589665,207.25867867469788
seq2seq,30,9.445240775950108,7.167343087575042,"12.05211726380439,7.660334245963196,5.37287756608777,3.5840432744448134",0.0,10.23171411921412,297.57637429237366
seq2seq,40,6.98662875071462,1.2090880777678812,"2.3181454836112567,1.3125610945627921,0.7613794276144112,0.4442663052830645",0.0,6.950577988998136,376.580943107605
seq2seq,50,7.77983799942594,4.873584377485603,"9.121146739104852,4.99792955056743,3.265565532259276,2.109695688010854",0.0,7.700789548615636,475.3445773124695
seq2seq,60,9.526276949356745,6.443203885234253,"11.133318680551598,6.9407859596943196,4.843241114334998,2.855469786356096",0.0,9.436504618569836,589.0511608123779
seq2seq,70,9.584470979927728,6.755656568869565,"12.21122112207191,7.146575992677752,4.856093698088483,2.8087354626401146",0.0,9.693698232073098,644.6537389755249
seq2seq,80,9.393600072914836,6.937698554816718,"12.498175840134104,7.337561340378393,5.005448277859055,2.909608760895319",0.0,9.476526514901382,1252.632713317871
seq2seq,90,9.615415925724836,6.7525738826223,"12.08053691271114,7.176779579415446,4.906715853837471,2.8462631845251387",0.0,9.773627964176743,1316.6876022815704
seq2seq,100,9.615415925724836,6.802029337163597,"12.162162162079985,7.229058758912308,4.945686545387431,2.8712098822746626",0.0,9.773627964176743,1131.7801468372345
seq2seq,110,9.615415925724836,6.802029337163597,"12.162162162079985,7.229058758912308,4.945686545387431,2.8712098822746626",0.0,9.773627964176743,1043.0004460811615
seq2seq,120,9.615415925724836,6.7525738826223,"12.08053691271114,7.176779579415446,4.906715853837471,2.8462631845251387",0.0,9.773627964176743,1114.3495354652405
seq2seq,130,9.548296022436181,6.703841586230611,"11.999999999960002,7.1252530319186755,4.868359440818166,2.8217538722255977",0.0,9.690294630843411,1205.3543808460236
seq2seq,140,9.548296022436181,6.7525738826223,"12.08053691271114,7.176779579415446,4.906715853837471,2.8462631845251387",0.0,9.690294630843411,1363.5123715400696
seq2seq,150,9.615415925724836,6.777210197271862,"12.12121212117131,7.202824060630059,4.926123488662861,2.858681118623219",0.0,9.773627964176743,1445.9922995567322
seq2seq,160,9.615415925724836,6.803930071507909,"12.162092442390211,7.230932543457233,4.948603522738809,2.874091777445384",0.0,9.773627964176743,1486.1916317939758
seq2seq,170,9.615415925724836,6.777210197271862,"12.12121212117131,7.202824060630059,4.926123488662861,2.858681118623219",0.0,9.773627964176743,1589.3611869812012
seq2seq,180,9.548296022436181,6.703841586230611,"11.999999999960002,7.1252530319186755,4.868359440818166,2.8217538722255977",0.0,9.690294630843411,1640.3965241909027
seq2seq,190,9.548296022436181,6.703841586230611,"11.999999999960002,7.1252530319186755,4.868359440818166,2.8217538722255977",0.0,9.690294630843411,1692.4604754447937
seq2seq,200,9.548296022436181,6.703841586230611,"11.999999999960002,7.1252530319186755,4.868359440818166,2.8217538722255977",0.0,9.690294630843411,1805.6661624908447
acg,1,34.06451582233835,6.744537622829307,"13.815325586158188,8.262407043021723,4.899437692146225,0.0009801699910892963",0.0,36.065443328601226,58.22820234298706
acg,2,39.222428530349234,8.254257945788346,"14.21797691954787,11.161032335270752,7.636796976729163,0.0012255516055972606",0.0,41.964751156788374,76.48516345024109
acg,3,37.843033785646995,2.3215277823495026,"4.476930105068763,3.0618097818834924,1.7472445435927348,0.00012669885301903799",0.0,38.8770118668836,98.40422940254211
acg,4,43.075778547352414,15.263621364937974,"23.199936052494795,17.39995203934786,12.188837491412686,8.265759876496553",0.0,45.021850290232635,127.73404145240784
acg,5,45.44286871039105,21.65244829151569,"32.22964426643616,26.575651822846975,19.147481111734855,8.657015965044765",0.0,46.822555038028156,150.22240543365479
acg,6,48.251234034327226,20.788655574230656,"27.342390897507972,23.24197993978953,18.594671487608537,13.975579972016586",0.0,51.02226858109209,171.99132442474365
acg,7,42.02248433342378,22.308722341085915,"32.24583012174576,26.378871514785896,19.30644664956943,11.303741078242563",0.0,43.76569249588698,199.053236246109
acg,8,47.48989862415359,18.3054064109421,"23.613397845218184,19.93572154003497,16.378942450823438,13.293563807691818",0.0,51.02949256625726,221.99628829956055
acg,9,45.12273879048651,19.512083569360875,"27.696813636458145,22.059475536464294,17.052692944634572,11.239352159886495",0.0,48.22766189903286,236.2949719429016
acg,10,42.91693371062578,22.882361055124406,"32.795519765397515,26.41179616423472,19.92776772184116,12.394360569024226",0.0,44.98672840442289,271.0236015319824
acg,20,46.025011611657455,6.306595171778822,"9.756097560967111,7.328803956887432,5.075623913107397,3.0658552561533483",0.0,48.09508803276762,521.788162946701
acg,30,44.07890282909749,3.1493567702226475,"5.189990732157002,3.637618862456047,2.409893835410206,1.359923650867337",0.0,46.89841344370286,759.1199357509613
acg,40,40.84953039186159,5.628707740603438,"8.919382504280515,6.4180023384366995,4.495665907508319,2.681780212188219",0.0,43.696866950832785,1185.3713116645813
acg,50,41.422397000528576,22.095209905254002,"34.96664924438334,25.242590180933345,18.017917335886793,10.153682859812527",0.0,44.06385062306115,1346.8541088104248
acg,60,40.94771149467494,22.929136518342556,"31.71160329855407,25.464876487955397,20.25073483345345,14.289331453407318",0.0,43.312235190283964,1460.7088603973389
acg,70,40.12912193648779,21.51509763577126,"31.85016661553514,24.113136873835433,18.09629649281998,12.000790560894481",0.0,42.708555333555346,1812.9610953330994
acg,80,39.97253932599584,22.659722509794562,"31.606989557311145,25.520862007527086,19.96559842698699,13.545440047353024",0.0,42.360776650250344,2059.5858731269836
