model,epoch,rouge,bleu,bleu_list,exact_match,f1,elapsed_time
seq2seq,1,0.0,2.9926156984640027e-16,"1.4703053337673034e-16,1.803905359149721e-16,2.4416930663449195e-16,6.254559034594068e-16",0.0,0.0,49.49077773094177
seq2seq,2,0.8575182251959067,0.070260576839366,"0.28104229870516495,7.766822769192474e-09,3.014798399745725e-11,8.553282779605283e-10",0.0,0.9259259259259258,56.303956747055054
seq2seq,3,0.47775689223057644,0.017022595526004037,"0.06809037846916224,2.9999792952322695e-09,2.7244493238575985e-11,6.076301099364616e-10",0.0,0.5208333333333333,63.02419662475586
seq2seq,4,0.7967919328082345,0.03683948428162587,"0.1473579319055717,4.528576681107455e-09,2.950565760795421e-11,6.628494454731845e-10",0.0,0.8796296296296297,74.66247606277466
seq2seq,5,0.3500918273645546,0.035130288896931636,"0.14052114935258256,5.4919730483700805e-09,2.392847075614204e-11,7.19242482802141e-10",0.0,0.3787878787878788,82.26755595207214
seq2seq,6,0.7967919328082345,0.034045190484464936,"0.1361807569383244,4.242611406155954e-09,3.4325910525000417e-11,7.225980500263258e-10",0.0,0.8796296296296297,91.09353804588318
seq2seq,7,0.8625436654574272,0.007433102217678572,"0.02973240832507139,5.441328376066313e-10,1.4362283952318003e-12,7.38318655312911e-14",0.0,0.9300595238095238,100.70406889915466
seq2seq,8,1.6987715039356013,0.4100031769767292,"0.5945113810402083,0.5148619588188968,0.4907583322058202,0.03988103584199171",0.0,1.8055555555555558,110.57624697685242
seq2seq,9,2.5081332800851,0.593206604261879,"1.0734221649976052,0.6991616629342566,0.6000557894097335,0.0001867997059207307",0.0,2.678872053872054,117.37292194366455
seq2seq,10,2.03507480999953,0.1299826706957667,"0.5199306759094282,6.856384387078789e-09,1.6439989997365738e-11,8.142136386202389e-13",0.0,2.1200269637769638,136.42132306098938
seq2seq,20,6.965890572472048,0.5846854567425235,"1.0739102969042724,0.6428898525432761,0.3776286353722561,0.24431304215028915",0.0,7.887220913177308,228.10809898376465
seq2seq,30,16.569802453266682,12.347810738044453,"17.572711247627637,13.376666692940068,10.634259083058526,7.807605928551578",0.0,17.665282469365284,315.1852436065674
seq2seq,40,20.560702167284795,14.320496542979996,"19.066815937055562,15.53460296594798,12.867257472257442,9.813309796658999",2.083333333333333,21.48991772275525,407.9976794719696
seq2seq,50,19.76440134972459,15.030509436938292,"20.427323016509025,16.532883717704312,13.298150055020761,9.863680958519069",0.0,20.763769290278578,510.22472953796387
seq2seq,60,20.301810316401838,14.612884367158193,"19.386450635227163,16.091809272153558,13.118638104564774,9.854639456687282",0.0,20.5754565640023,613.1380512714386
seq2seq,70,19.868243452088322,15.294448520227427,"20.560607756390894,16.779309146428776,13.58296935956837,10.254907818521671",0.0,20.212272043209083,694.7811985015869
seq2seq,80,21.476511591159078,16.17543124118441,"21.220220093661727,17.441886478860916,14.574546869237798,11.465071522977185",0.0,21.963009982805715,792.9132013320923
seq2seq,90,21.548907260360252,16.82200801818523,"21.743341311108743,18.234243514095258,15.207040205256167,12.10340704228075",0.0,22.0361093980104,889.166729927063
seq2seq,100,21.220789606855114,16.60866041263518,"21.460665562725378,17.925196751679355,15.038979189206533,12.009800146929459",0.0,21.660106724213602,982.8837366104126
seq2seq,110,21.095754749979232,16.424943293584565,"21.351929965067747,17.68707419314509,14.84969718527585,11.811071830849578",0.0,21.543685155586147,1084.3800964355469
