model,epoch,rouge,bleu,bleu_list,exact_match,f1,elapsed_time
seq2seq,1,0.786262106535044,0.08580996907795932,"0.3432398688153729,6.694803520226046e-09,2.3044268261701978e-11,7.786165609280533e-10",0.0,0.8214285714285714,148.5991826057434
seq2seq,2,0.8206291129110541,0.2018217457417813,"0.5290194440936257,0.27826488951732054,2.6390625306763152e-06,1.0293648313649992e-08",0.0,0.8432539682539683,188.87678170204163
seq2seq,3,1.5497361043930975,0.3669154317345518,"1.0630482449842211,0.4046101626589491,3.308411522745076e-06,1.088351434608614e-08",0.0,1.5806878306878307,187.25966358184814
seq2seq,4,0.8087980257110071,0.08201054659797259,"0.22471910112349455,0.10332227126727525,8.117253653275549e-07,2.275755230035525e-09",0.0,0.8525165114042969,214.56476378440857
seq2seq,5,2.59948838593647,0.2897329884993463,"0.7657763832227467,0.3931510337212012,4.5191935517862396e-06,1.7859885672119475e-08",0.0,2.690536315536316,205.87730145454407
seq2seq,6,2.4160815633243318,0.05292383983836946,"0.15615850087837632,0.05553654418527211,3.135444143287479e-07,7.454150521590669e-10",0.0,2.5638861994070568,231.51236581802368
seq2seq,7,2.4441398124199596,0.05534500318132222,"0.16188214979493182,0.05949752236164991,3.397562679786544e-07,8.124391741103427e-10",0.0,2.5975562330770905,277.55756521224976
seq2seq,8,2.702026274831023,0.24173315688595182,"0.715187210769577,0.2517439765984278,1.4367169584091923e-06,3.4588440059335965e-09",0.0,2.767977782210455,344.52496886253357
seq2seq,9,4.978116149678428,1.3100895525265754,"2.8475650027864186,1.5506209303973169,0.8420268281201685,0.00014544880239751606",0.0,5.121188996188995,286.4356937408447
seq2seq,10,4.845660377053752,0.44507442744610337,"1.2547051442905668,0.5255902187094862,2.3418085077063736e-06,4.97585284080228e-09",0.0,5.0063455063455065,358.7435119152069
seq2seq,20,17.496244329685986,8.696627914337022,"15.556264345004255,9.496641866892967,6.253910681721835,3.479694763729025",0.0,17.808436483885735,598.167680978775
seq2seq,30,22.334012543826784,12.762552185315938,"21.962910516547986,14.008841244503978,9.480962112102459,5.597494868109327",0.0,23.464515909961126,827.8142862319946
seq2seq,40,24.446890591044543,16.356776828517308,"25.294722502523875,18.023846668213533,13.201470293361073,8.907067849970762",0.0,25.686357375455838,1032.2985229492188
seq2seq,50,24.822714231221433,16.288637700069174,"24.867720339440773,17.874166569236547,13.39018138750153,9.022482504097844",0.0,25.702611250094087,1340.7895154953003
seq2seq,60,25.213172631944747,7.491488824264305,"12.432432432424966,8.367070691080132,5.715293479298761,3.4511586942533623",0.0,25.981672934064527,1587.8586411476135
seq2seq,70,26.65152604513076,17.083764449636227,"25.827283918192656,18.972139136580147,14.153613366628976,9.382021377143133",0.0,27.414549070084902,1826.3215084075928
seq2seq,80,25.530793770421585,16.882235681670256,"26.167551096780368,18.990930475840898,13.694883582038313,8.675577572021433",0.0,26.422523091768614,2198.146714925766
seq2seq,90,25.408945296830225,17.175427513113707,"26.764091917191614,19.243309352513013,13.873645755592687,8.820663027157513",0.0,26.45736349996428,2393.3934762477875
seq2seq,100,25.677677001727773,17.842049257018925,"27.425614488968403,19.97484396666977,14.53252725876482,9.43521131367271",0.0,26.798708582118184,2624.4760534763336
seq2seq,110,25.27839661587742,17.12943458797391,"26.598465473111766,19.226189117038686,13.85534189007285,8.83774187167234",0.0,26.2624095100624,2896.622932434082
seq2seq,120,25.313317770868256,17.326646113660267,"26.715242981772825,19.457627767836655,14.095167408469525,9.03854629656206",0.0,26.344582775925073,3070.9789505004883
seq2seq,130,24.766268010790693,16.624732802906877,"26.114649681495393,18.69503501153838,13.33785307714874,8.351393441445003",0.0,25.74109538387212,3412.40793967247
seq2seq,140,24.78000105383363,16.41566753131317,"25.81863979845615,18.464252663410917,13.15583675955511,8.223940903830508",0.0,25.758049010253455,3709.1049404144287
seq2seq,150,24.775844461638695,16.648297875371355,"26.14795918364012,18.721035328103362,13.35839199128024,8.365804998461691",0.0,25.753721646498377,3929.516647338867
seq2seq,160,24.775844461638695,16.648297875371355,"26.14795918364012,18.721035328103362,13.35839199128024,8.365804998461691",0.0,25.753721646498377,4182.032147169113
seq2seq,170,24.766268010790693,16.624732802906877,"26.114649681495393,18.69503501153838,13.33785307714874,8.351393441445003",0.0,25.74109538387212,4452.638590097427
seq2seq,180,24.762466366944853,16.48475806352334,"25.916561314758642,18.5405422642669,13.215948260546579,8.265980414521241",0.0,25.73717974853053,4708.95207285881
seq2seq,190,24.762466366944853,16.48475806352334,"25.916561314758642,18.5405422642669,13.215948260546579,8.265980414521241",0.0,25.73717974853053,4909.110156059265
seq2seq,200,24.79005035477852,16.648297875371355,"26.14795918364012,18.721035328103362,13.35839199128024,8.365804998461691",0.0,25.770857288634026,5118.0425906181335
acg,1,42.41204584347597,6.392435883648469,"10.865108651082057,7.5604314117658316,4.8540793063698064,2.290124165376186",0.8333333333333334,44.01760414239535,191.48223972320557
acg,2,47.64779591912126,13.421073230973867,"19.597824457595163,17.663411793512914,16.420355121512202,0.002701551275191002",0.8333333333333334,50.519800933500605,194.44488883018494
