qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18
701,U S  oil industry history ,0.0075,1,bertqe.topn10.bm25,0.0122,"{'US oil industry history': 1.5, 'history petroleum industry': 1.0, 'history oil': 0.9953399122807017, 'oil gas industry started': 0.9945175438596491, '1977 u s oil': 0.9925986842105263, 'oil gas industry': 0.9912280701754386} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,Pearl farming ,0.0482,6,onfields.topn3.10.4.0.25.bm25,0.1384,"{'farm': 2, 'pearl': 2, 'option': 1.535, 'jorstad': 1.302, 'freshwat': 1.233, 'corn': 1.198, 'shell': 1.186, 'exercis': 1.174, 'maynard': 1.151, 'nw2d': 1.116, 'wirbel': 1.105, 'jerri': 1.0} ",thesaurus.topn3,0.1111,pearl farming  jewel nacre  agriculture breeding ,wiki.topn3,0.1076,pearl farming pearls jewellery components gemstone Pearl ,wiki.topn3.replace,0.0855,pearls jewellery components gemstone Pearl ,tagmee.topn3.replace,0.0491,Pearl ,bertqe.topn10.bm25,0.0491,"{'Pearl farming': 1.5, 'pearl farm established': 1.0, 'pearl farms  james peach ': 0.9818181818181818, 'pearl farms tennessee': 0.9272727272727274, 'pearl farm': 0.8272727272727273, 'pearl wirbel s farm rests': 0.7636363636363637} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,U S  against International Criminal Court ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Green party political views ,0.2345,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Iraq foreign debt reduction ,0.2626,4,tagmee.topn3.replace,0.4586,Iraq External debt Debt ,tagmee.topn3,0.4493,iraq foreign debt reduction Iraq External debt Debt ,stem.trunc5,0.3914,iraq forei debt reduc ,stem.trunc4,0.3355,iraq fore debt redu ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,Controlling type II diabetes ,0.058,7,stem.paicehusk,0.0972,control type iy diabet ,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.bm25,0.0879,"{'ii': 2, 'type': 2, 'control': 2, 'diabet': 2, 'that': 1.617, 'diseas': 1.235, 'insulin': 1.226, 'imuran': 1.096, 'increas': 1.07, 'polopolu': 1.052, 'promis': 1.043, 'glucos': 1.043, 'bloodsugar': 1.026, 'undiagnos': 1.026} ",relevancefeedback.topn10.bm25,0.0843,controlling type ii diabetes diabet ,docluster.topn10.3.bm25,0.0843,controlling type ii diabetes diabet ,termluster.topn5.3.bm25,0.0675,controlling type ii diabetes type treatment treat blood complic control type treatment treat ,sensedisambiguation.replace,0.0648,see type two diabetes ,sensedisambiguation,0.0599,Controlling see type II two diabetes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Aspirin cancer prevention ,0.2599,5,conceptluster.topn5.3.bm25,0.365,aspirin cancer prevention cancer cancer prevention ,tagmee.topn3.replace,0.3187,Aspirin Cancer Cancer prevention ,onfields.topn3.10.4.0.25.bm25,0.3069,"{'prevent': 2, 'cancer': 2, 'aspirin': 2, 'reject': 1.313, 'colon': 1.296, 'adenoma': 1.278, 'colorect': 1.226, '08256065': 1.148, '19972336': 1.148, 'transderm': 1.122, 'polyp': 1.122, 'cancergov': 1.052} ",termluster.topn5.3.bm25,0.2943,aspirin cancer prevention cancer mai prevent aspirin mai prevent studi site risk ,tagmee.topn3,0.2941,aspirin cancer prevention Aspirin Cancer Cancer prevention ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,Decorative slate sources ,0.2365,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,Horse racing jockey weight ,0.8146,1,sensedisambiguation,0.838,Horse sawhorse racing rush jockey weight weight unit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,Prostate cancer treatments ,0.5473,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
